"No.","Time","Source","Destination","Protocol","Length","Info"
"85","0.421474","10.25.136.117","239.255.255.250","UDP","155","1990  >  1990 Len=113"
"86","0.421474","10.25.137.204","224.0.0.251","MDNS","168","Standard query 0x0003 PTR _googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question"
"87","0.421474","fe80::e8de:daff:fecf:b537","ff02::fb","MDNS","188","Standard query 0x0003 PTR _googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question"
"88","0.421474","10.25.135.238","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question"
"89","0.421474","fe80::1cb2:81a8:8eca:f850","ff02::fb","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question"
"90","0.421474","fe80::60b9:8aff:fecb:8066","ff02::fb","MDNS","444","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local AAAA, cache flush fe80::60b9:8aff:fecb:8066"
"91","0.432613","fe80::60b9:8aff:fecb:8066","ff02::fb","MDNS","459","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local AAAA, cache flush fe80::60b9:8aff:fecb:8066"
"92","0.432613","fe80::60b9:8aff:fecb:8066","ff02::fb","MDNS","459","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local AAAA, cache flush fe80::60b9:8aff:fecb:8066"
"93","0.432613","10.25.128.166","224.0.0.251","MDNS","412","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local A, cache flush 10.25.128.166"
"94","0.432613","10.25.128.166","224.0.0.251","MDNS","427","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local A, cache flush 10.25.128.166"
"95","0.432613","10.25.128.166","224.0.0.251","MDNS","427","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local A, cache flush 10.25.128.166"
"96","0.432613","fe80::4dd2:82d0:ce6:f7b7","ff02::fb","MDNS","179","Standard query 0x0000 ANY {""nm"":""Xiaomi"",""as"":""[8193, 8194]"",""ip"":""20""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android-55.local"
"97","0.432613","10.25.135.20","224.0.0.251","MDNS","159","Standard query 0x0000 ANY {""nm"":""Xiaomi"",""as"":""[8193, 8194]"",""ip"":""20""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android-55.local"
"98","0.432613","fe80::e4a3:f1ff:fe76:7d03","ff02::fb","MDNS","239","Standard query response 0x0000 PTR, cache flush Android.local AAAA, cache flush fe80::e4a3:f1ff:fe76:7d03 NSEC, cache flush 3.0.D.7.6.7.E.F.F.F.1.F.3.A.4.E.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"99","0.432613","fe80::189c:2db1:1a57:a918","ff02::fb","MDNS","344","Standard query response 0x0000 PTR iPhone (3)._rdlink._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 49153 iPhone-3.local AAAA, cache flush fe80::189c:2db1:1a57:a918 A, cache flush 10.25.141.43 NSEC, cache flush iPhone (3)._rdlink._tcp.local NSEC, cache flush iPhone-3.local"
"100","0.434020","10.25.141.43","224.0.0.251","MDNS","324","Standard query response 0x0000 PTR iPhone (3)._rdlink._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 49153 iPhone-3.local AAAA, cache flush fe80::189c:2db1:1a57:a918 A, cache flush 10.25.141.43 NSEC, cache flush iPhone (3)._rdlink._tcp.local NSEC, cache flush iPhone-3.local"
"101","0.441553","fe80::a80b:5cff:fed4:c8ab","ff02::fb","MDNS","312","Standard query response 0x0000 PTR, cache flush Android-122.local PTR, cache flush Android-122.local A, cache flush 10.25.130.73 AAAA, cache flush fe80::a80b:5cff:fed4:c8ab NSEC, cache flush 73.130.25.10.in-addr.arpa NSEC, cache flush B.A.8.C.4.D.E.F.F.F.C.5.B.0.8.A.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-122.local"
"102","0.441553","10.25.135.115","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"103","0.441553","10.25.129.9","224.0.0.251","MDNS","184","Standard query 0x0003 PTR _googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question"
"104","0.441553","fe80::60b9:8aff:fecb:8066","ff02::fb","MDNS","444","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local AAAA, cache flush fe80::60b9:8aff:fecb:8066"
"105","0.441553","fe80::60b9:8aff:fecb:8066","ff02::fb","MDNS","459","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local AAAA, cache flush fe80::60b9:8aff:fecb:8066"
"106","0.441553","fe80::60b9:8aff:fecb:8066","ff02::fb","MDNS","459","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local AAAA, cache flush fe80::60b9:8aff:fecb:8066"
"107","0.441553","10.25.128.166","224.0.0.251","MDNS","412","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local A, cache flush 10.25.128.166"
"108","0.441553","10.25.128.166","224.0.0.251","MDNS","427","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local A, cache flush 10.25.128.166"
"109","0.442705","10.25.128.166","224.0.0.251","MDNS","427","Standard query response 0x0000 PTR BRAVIA-BF1-6649693d1c614e7b64594f0e4dd7e3c6._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6649693d-1c61-4e7b-6459-4f0e4dd7e3c6.local A, cache flush 10.25.128.166"
"110","0.447642","10.25.130.176","224.0.0.251","MDNS","125","Standard query 0x0000 ANY Android-3.local, ""QM"" question ANY Android-3.local, ""QM"" question A 10.25.130.176 AAAA fe80::3c93:bfff:fe7f:7f09"
"111","0.447642","fe80::4dd2:82d0:ce6:f7b7","ff02::fb","MDNS","179","Standard query 0x0000 ANY {""nm"":""Xiaomi"",""as"":""[8193, 8194]"",""ip"":""20""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android-55.local"
"112","0.447642","10.25.135.20","224.0.0.251","MDNS","159","Standard query 0x0000 ANY {""nm"":""Xiaomi"",""as"":""[8193, 8194]"",""ip"":""20""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android-55.local"
"113","0.447642","10.25.137.228","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"114","0.447642","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0xc1f9 PTR _quickshare._tcp.local, ""QM"" question"
"115","0.447642","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x6451 PTR _quickshare._tcp.local, ""QM"" question"
"116","0.447642","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0xc1f9 PTR _quickshare._tcp.local, ""QM"" question"
"117","0.447642","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0xb513 PTR _quickshare._tcp.local, ""QM"" question"
"118","0.448714","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x8468 PTR _quickshare._tcp.local, ""QM"" question"
"119","0.451240","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.212? Tell 10.25.151.1"
"120","0.451240","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.3? Tell 10.25.151.1"
"121","0.451240","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.217? Tell 10.25.151.1"
"122","0.458871","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.20? Tell 10.25.151.1"
"123","0.458871","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.190? Tell 10.25.151.1"
"124","0.458871","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.239? Tell 10.25.151.1"
"125","0.458871","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.140? Tell 10.25.151.1"
"126","0.458871","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.126? Tell 10.25.151.1"
"127","0.501827","10.25.141.101","10.25.139.150","UDP","80","46551  >  62910 Len=38"
"128","0.504648","10.25.139.150","208.91.112.53","DNS","78","Standard query 0x9e67 HTTPS edge.microsoft.com"
"129","0.504809","10.25.139.150","208.91.112.53","DNS","78","Standard query 0xb613 A edge.microsoft.com"
